Activity Date,Activity Name,Activity Type,Distance,Moving Time,Activity Gear
"Jan 5, 2025, 8:15:03 AM",Morning Ride,Ride,42.5,6300,Canyon Endurace
"Feb 2, 2025, 9:00:00 AM",Sunday Loop,Ride,68.2,9900,Canyon Endurace
"Mar 9, 2025, 7:45:00 AM",Gravel Grinder,Gravel Ride,55.0,8400,Canyon Endurace
"Apr 13, 2025, 8:30:00 AM",Spring Century,Ride,161.0,21600,Canyon Endurace
"May 18, 2025, 8:00:00 AM",Hills Repeat,Ride,74.3,10800,Canyon Endurace
"Jun 22, 2025, 7:30:00 AM",Solstice Ride,Ride,120.9,16200,Canyon Endurace
"Jul 20, 2025, 6:45:00 AM",Summer Long One,Ride,140.0,18000,Canyon Endurace
"Aug 24, 2025, 8:10:00 AM",Yoga,Workout,0.0,3600,
"Sep 14, 2025, 8:20:00 AM",Fall Classic,Ride,95.5,13500,Canyon Endurace
"Oct 12, 2025, 9:05:00 AM",Leaf Peeper,Ride,80.0,11700,Canyon Endurace
"Nov 16, 2025, 10:00:00 AM",Cold Toes,Ride,45.6,7200,Canyon Endurace
"Dec 21, 2025, 11:00:00 AM",Winter Spin,Ride,38.2,6000,Canyon Endurace
"Jan 18, 2026, 9:30:00 AM",New Year Miles,Ride,60.0,9000,Canyon Endurace
"Feb 15, 2026, 9:00:00 AM",Frost Ride,Ride,52.4,8100,Canyon Endurace
"Mar 15, 2026, 8:00:00 AM",Early Spring,Ride,88.7,12600,Canyon Endurace
"Apr 19, 2026, 7:50:00 AM",April Showers,Ride,102.3,14400,Canyon Endurace
"May 17, 2026, 8:00:00 AM",May Metric,Ride,100.0,13800,Canyon Endurace
"Jun 14, 2026, 7:30:00 AM",June Gravel,Gravel Ride,77.7,11700,Canyon Endurace
"Jul 12, 2026, 7:00:00 AM",Hot Laps,Ride,66.6,9600,Canyon Endurace
"Aug 9, 2026, 7:15:00 AM",August Long,Ride,130.1,17400,Canyon Endurace
